video,stereo,t,u,v,id
5010,False,0.11469384765625,0.4070277,0.4903241,31
5010,False,0.1246669921875,0.4087717,0.490062,31
5010,False,0.133642333984375,0.4104477,0.4899314,31
5010,False,0.143616455078125,0.4121023,0.4898611,31
5010,False,0.152592529296875,0.4136595,0.4898581,31
5010,False,0.162565673828125,0.4152313,0.4899339,31
5010,False,0.173536376953125,0.4167966,0.4900548,31
5010,False,0.184507080078125,0.4182898,0.4901611,31
5010,False,0.1954775390625,0.4197974,0.4903472,31
5010,False,0.20644873046875,0.4212357,0.4906213,31
5010,False,0.2174189453125,0.422583,0.4908993,31
5010,False,0.228389404296875,0.4239796,0.4911542,31
5010,False,0.2393603515625,0.4253424,0.4915023,31
5010,False,0.251328125,0.4266507,0.4918088,31
5010,False,0.26229833984375,0.4279495,0.4921231,31
5010,False,0.273270263671875,0.4292072,0.4923981,31
5010,False,0.28424072265625,0.4304464,0.492529,31
5010,False,0.295211669921875,0.4316688,0.4925243,31
5010,False,0.30618212890625,0.4330102,0.492358,31
5010,False,0.31715234375,0.4343489,0.4922375,31
5010,False,0.32911962890625,0.4356849,0.4922873,31
5010,False,0.339093994140625,0.43697,0.492478,31
5010,False,0.3510615234375,0.4382253,0.4927346,31
5010,False,0.362031982421875,0.4394198,0.4930053,31
5010,False,0.37300439453125,0.4406128,0.4933383,31
5010,False,0.38397412109375,0.4417598,0.4938636,31
5010,False,0.394944091796875,0.4428726,0.494534,31
5010,False,0.406912353515625,0.4439335,0.4950231,31
5010,False,0.4178828125,0.4448923,0.4957127,31
5010,False,0.428853515625,0.445834,0.4963086,31
5010,False,0.43982470703125,0.4467068,0.496773,31
5010,False,0.450794921875,0.4475162,0.4972136,31
5010,False,0.461765625,0.4482321,0.4975244,31
5010,False,0.472736572265625,0.4489038,0.4978516,31
5010,False,0.484704833984375,0.4495306,0.4980969,31
5010,False,0.494677734375,0.450058,0.498289,31
5010,False,0.506646484375,0.4505722,0.4984668,31
5010,False,0.517616455078125,0.4510605,0.4985734,31
5010,False,0.529583984375,0.4515179,0.4985837,31
5010,False,0.5405556640625,0.4519587,0.4987472,31
5010,False,0.55178125,0.452314,0.4987076,31
5010,False,0.563749755859375,0.4526467,0.4986309,31
5010,False,0.575716064453125,0.4529641,0.4984397,31
5010,False,0.58569091796875,0.4532469,0.4981505,31
5010,False,0.59765771484375,0.45352,0.4978313,31
5010,False,0.60862841796875,0.4537542,0.4975827,31
5010,False,0.620596923828125,0.4539925,0.49734,31
5010,False,0.631567138671875,0.4541951,0.4972096,31
5010,False,0.643116943359375,0.454336,0.4971272,31
5010,False,0.654087158203125,0.4544658,0.4969106,31
5010,False,0.666055908203125,0.4545421,0.4969845,31
5010,False,0.677026611328125,0.4545529,0.4970421,31
5010,False,0.688994140625,0.4545346,0.4972486,31
5010,False,0.69996484375,0.4545189,0.4975668,31
5010,False,0.710935302734375,0.4544181,0.4979907,31
5010,False,0.721906494140625,0.4543189,0.4985612,31
5010,False,0.73287646484375,0.4541625,0.4992341,31
5010,False,0.74484521484375,0.4540344,0.499716,31
5010,False,0.75581494140625,0.4538771,0.5003436,31
5010,False,0.7667861328125,0.4536057,0.5010555,31
5010,False,0.777757568359375,0.4533792,0.5016051,31
5010,False,0.7887275390625,0.4530931,0.5021327,31
5010,False,0.79969873046875,0.4527572,0.502543,31
5010,False,0.811666015625,0.452293,0.5028897,31
5010,False,0.82263671875,0.4518127,0.503278,31
5010,False,0.833607177734375,0.4512335,0.5035813,31
5010,False,0.84457861328125,0.4505914,0.503826,31
5010,False,0.855550048828125,0.4499443,0.5040579,31
5010,False,0.866519775390625,0.4491839,0.5041925,31
5010,False,0.877489990234375,0.4484136,0.504169,31
5010,False,0.8884609375,0.4475179,0.504053,31
5010,False,0.9004287109375,0.4465914,0.5038648,31
5010,False,0.911399169921875,0.4455921,0.5035472,31
5010,False,0.92237060546875,0.4444744,0.5032209,31
5010,False,0.93334033203125,0.4432806,0.5029561,31
5010,False,0.944311279296875,0.4419891,0.5028261,31
5010,False,0.955282470703125,0.4406311,0.5027938,31
5010,False,0.9662529296875,0.4391684,0.502829,31
5010,False,0.978220947265625,0.4376667,0.5027905,31
5010,False,0.989191650390625,0.4361202,0.5024711,31
5010,False,1.000162109375,0.434524,0.5022263,31
5010,False,1.01113330078125,0.4328358,0.5019373,31
5010,False,1.02210400390625,0.4310656,0.5016975,31
5010,False,1.03307397460937,0.4292485,0.5015918,31
5010,False,1.04455078125,0.4273836,0.5015035,31
5010,False,1.05552172851563,0.4254667,0.5015036,31
5010,False,1.0674892578125,0.4235782,0.501492,31
5010,False,1.0784599609375,0.4216674,0.5015589,31
5010,False,1.08943090820313,0.4197572,0.5014247,31
5010,False,1.10040161132813,0.4178342,0.5015254,31
5010,False,1.1113720703125,0.4159077,0.5017296,31
5010,False,1.1223427734375,0.4140123,0.5019526,31
5010,False,1.1333134765625,0.4121005,0.5022525,31
5010,False,1.14380444335938,0.4102531,0.502477,31
5010,False,1.15576147460938,0.4085038,0.5026067,31
5010,False,1.16673193359375,0.406823,0.5025898,31
5010,False,1.177703125,0.4052188,0.5026432,31
5010,False,1.18867333984375,0.4037262,0.5027779,31
5010,False,1.20064111328125,0.4022482,0.502955,31
5010,False,1.2116123046875,0.4009107,0.5030609,31
5010,False,1.22258251953125,0.3996618,0.503177,31
5010,False,1.23355322265625,0.3984079,0.5032322,31
5010,False,1.24386669921875,0.3973431,0.5031815,31
5010,False,1.2558193359375,0.3963042,0.5030274,31
5010,False,1.26679077148437,0.3953814,0.5029196,31
5010,False,1.27776123046875,0.3945327,0.5027472,31
5010,False,1.28972998046875,0.3937732,0.5025229,31
5010,False,1.29970239257813,0.3930907,0.5023421,31
5010,False,1.311669921875,0.3923941,0.502149,31
5010,False,1.32264086914063,0.3917632,0.5019878,31
5010,False,1.33361206054688,0.3911394,0.501834,31
5010,False,1.34458203125,0.3905894,0.5017167,31
5010,False,1.35555322265625,0.3900524,0.5016683,31
5010,False,1.36752075195312,0.3895489,0.5015639,31
5010,False,1.37749438476562,0.3890676,0.5014528,31
5010,False,1.38946240234375,0.3886567,0.501375,31
5010,False,1.40043310546875,0.3882405,0.5012115,31
5010,False,1.41140356445313,0.387833,0.5009803,31
5010,False,1.4223740234375,0.3874307,0.500655,31
5010,False,1.4333447265625,0.3870334,0.5004579,31
5010,False,1.44431494140625,0.3866965,0.5001974,31
5010,False,1.4552861328125,0.3862988,0.500005,31
5010,False,1.46725390625,0.3859433,0.499851,31
5010,False,1.47722802734375,0.385583,0.4996564,31
5010,False,1.4891962890625,0.3851813,0.4995067,31
5010,False,1.50016650390625,0.3848245,0.499295,31
5010,False,1.51113671875,0.3844681,0.4991192,31
5010,False,1.52210815429688,0.3840901,0.4989794,31
5010,False,1.53407836914063,0.3837399,0.4987935,31
5010,False,1.545046875,0.3834141,0.498631,31
5010,False,1.55601684570312,0.3830807,0.4985134,31
5010,False,1.5669873046875,0.3827556,0.4984082,31
5010,False,1.57795849609375,0.3824619,0.4983814,31
5010,False,1.5889287109375,0.3821489,0.4983234,31
5010,False,1.59989916992188,0.3818676,0.4984332,31
5010,False,1.6108701171875,0.3815653,0.4987001,31
5010,False,1.62184130859375,0.3812988,0.4989955,31
5010,False,1.63480590820313,0.3810622,0.4993268,31
5010,False,1.64378271484375,0.3808584,0.4996064,31
5010,False,1.65575,0.380698,0.4999367,31
5010,False,1.66672119140625,0.3805595,0.5004184,31
5010,False,1.67769116210938,0.3804541,0.5008247,31
5010,False,1.68866235351563,0.3804035,0.5013087,31
5010,False,1.69963354492187,0.3803539,0.5016876,31
5010,False,1.710603515625,0.3804146,0.5021132,31
5010,False,1.72157470703125,0.3804895,0.5025066,31
5010,False,1.73354272460938,0.3806468,0.502952,31
